Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 243 | Family Law (jp:243,idx:63)
0.01577287,5.0,(11|9)
0.01562500,2.0,(7|12)
0.01562500,5.0,(41|26)
0.01538462,1.0,(8|48)
0.01538462,3.0,(20|9)
0.01538462,1.0,(26|19)
0.01520913,4.0,(7|46)
0.01454545,4.0,(12|5)
0.01449275,2.0,(7|9)
0.01449275,4.0,(15|1)
0.01446655,8.0,(17|24)
0.01437372,7.0,(27|19)
0.01411765,6.0,(22|12)
0.01401869,3.0,(25|9)
0.01356589,7.0,(15|30)
0.01351351,3.0,(38|25)
0.01333333,2.0,(46|31)
0.01324503,2.0,(22|33)
0.01290323,2.0,(19|8)
0.01265823,1.0,(49|30)
0.01250000,1.0,(19|7)
0.01250000,1.0,(30|1)
0.01250000,1.0,(49|7)
0.01234568,1.0,(27|45)
0.01219512,2.0,(17|20)
0.01185771,3.0,(6|18)
0.01125704,6.0,(10|6)
0.01123596,2.0,(13|13)
0.01121495,6.0,(18|11)
0.01098901,1.0,(3|11)
0.01092896,2.0,(32|1)
0.01086957,2.0,(27|20)
0.01078167,4.0,(35|42)
0.01067616,3.0,(43|24)
0.01063830,2.0,(5|32)
0.01059322,5.0,(21|14)
0.01052632,2.0,(24|8)
0.01052632,4.0,(46|24)
0.01047120,2.0,(47|24)
0.01045296,3.0,(16|9)
0.01027397,3.0,(47|22)
0.01000000,3.0,(32|15)
0.009966778,3.0,(1|26)
0.009900990,1.0,(20|0)
0.009708738,3.0,(14|4)
0.009661836,6.0,(9|12)
0.009523810,2.0,(33|48)
0.009478673,2.0,(24|12)
0.009259259,2.0,(5|48)
0.009259259,1.0,(21|3)
0.009216590,2.0,(19|18)
0.009216590,2.0,(43|26)
0.009174312,5.0,(29|5)
0.009009009,2.0,(8|1)
0.008849557,2.0,(27|18)
0.008810572,2.0,(7|0)
0.008810572,2.0,(7|1)
0.008771930,1.0,(4|11)
0.008771930,1.0,(10|7)
0.008695652,3.0,(12|10)
0.008474576,1.0,(2|24)
0.008438818,6.0,(32|9)
0.008356546,3.0,(12|46)
0.008333334,1.0,(28|18)
0.008264462,1.0,(2|26)
0.008196721,1.0,(22|4)
0.008196721,1.0,(32|2)
0.008108108,3.0,(17|26)
0.007898894,5.0,(44|32)
0.007874016,1.0,(43|28)
0.007812500,1.0,(17|5)
0.007812500,1.0,(25|6)
0.007751938,3.0,(17|8)
0.007731959,3.0,(11|49)
0.007692308,2.0,(26|49)
0.007662835,2.0,(3|27)
0.007645260,5.0,(31|21)
0.007633588,2.0,(49|39)
0.007575758,2.0,(15|12)
0.007371007,3.0,(27|46)
0.007299270,1.0,(48|27)
0.007220217,2.0,(29|15)
0.007194245,1.0,(6|30)
0.007067138,2.0,(24|38)
0.006993007,1.0,(14|5)
0.006944444,1.0,(26|12)
0.006944444,1.0,(49|26)
0.006802721,2.0,(13|3)
0.006756757,1.0,(6|49)
0.006711409,2.0,(46|33)
0.006666667,1.0,(38|22)
0.006622517,1.0,(5|17)
0.006622517,1.0,(10|12)
0.006622517,2.0,(34|11)
0.006578947,2.0,(27|11)
0.006535948,1.0,(41|2)
0.006329114,1.0,(35|47)
0.006289308,1.0,(16|19)
0.006211180,1.0,(30|4)
0.006134969,2.0,(40|27)
0.006060606,2.0,(28|11)
0.005952381,2.0,(28|2)
0.005657709,4.0,(29|17)
0.005545286,3.0,(16|20)
0.005464481,1.0,(29|12)
0.005434783,1.0,(37|6)
0.005434783,1.0,(45|24)
0.005434783,1.0,(45|25)
0.005409583,7.0,(32|23)
0.005376344,1.0,(42|24)
0.005361930,2.0,(8|3)
0.005291005,1.0,(44|24)
0.005263158,1.0,(17|7)
0.005208333,2.0,(9|13)
0.005208333,1.0,(45|8)
0.005167959,2.0,(42|28)
0.005063291,2.0,(31|44)
0.004950495,1.0,(8|10)
0.004950495,2.0,(31|22)
0.004878049,2.0,(47|9)
0.004773270,2.0,(9|6)
0.004761905,1.0,(46|32)
0.004724409,3.0,(12|27)
0.004672897,2.0,(48|33)
0.004651163,1.0,(19|33)
0.004444445,1.0,(42|25)
0.004434590,2.0,(26|46)
0.004329004,2.0,(27|14)
0.004255319,1.0,(13|32)
0.004255319,2.0,(41|12)
0.004210526,2.0,(18|18)
0.004184100,1.0,(13|4)
0.004149378,1.0,(23|13)
0.004016064,1.0,(28|0)
0.003802281,1.0,(10|23)
0.003802281,1.0,(20|6)
0.003802281,1.0,(45|42)
0.003773585,1.0,(48|2)
0.003759399,1.0,(24|30)
0.003275109,3.0,(17|25)
0.003205128,1.0,(44|25)
0.003154574,1.0,(18|7)
0.003112033,3.0,(27|21)
0.003086420,1.0,(46|17)
0.003076923,1.0,(0|37)
0.003030303,1.0,(1|5)
0.003021148,2.0,(27|13)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002954210,2.0,(41|29)
0.002915452,1.0,(43|1)
0.002890173,1.0,(21|28)
0.002886003,2.0,(29|22)
0.002873563,1.0,(37|5)
0.002728513,2.0,(23|7)
0.002724796,1.0,(24|27)
0.002531646,2.0,(9|3)
0.002493766,1.0,(30|36)
0.002439024,1.0,(36|19)
0.002386635,1.0,(26|14)
0.002372479,2.0,(14|3)
0.002277904,1.0,(24|37)
0.002257336,1.0,(8|14)
0.002242153,2.0,(28|48)
0.002164502,2.0,(33|15)
0.001984127,1.0,(30|27)
0.001872659,1.0,(23|3)
0.001872659,1.0,(23|4)
0.001808318,1.0,(11|22)
0.001785714,1.0,(20|26)
0.001748252,1.0,(8|42)
0.001727116,1.0,(29|19)
0.001644737,1.0,(31|19)
0.001545595,1.0,(17|21)
0.001512859,1.0,(45|13)
0.001449275,1.0,(12|21)
0.001443001,1.0,(7|23)
0.001353180,1.0,(28|14)
0.001324503,1.0,(21|25)
0.001324503,1.0,(23|25)
0.001245330,1.0,(45|10)
